,_id,dezenas,premiacoes
48,"{'loteria': 'super-sete', 'concurso': 49}","['4', '0', '3', '8', '8', '0', '4']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 1, 'premio': '32.706,05'}, {'acertos': '5 Pontos', 'vencedores': 42, 'premio': '1.112,45'}, {'acertos': '4 Pontos', 'vencedores': 579, 'premio': '80,69'}, {'acertos': '3 Pontos', 'vencedores': 6116, 'premio': '5,00'}]"
49,"{'loteria': 'super-sete', 'concurso': 50}","['0', '4', '5', '8', '6', '0', '6']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 1, 'premio': '35.460,83'}, {'acertos': '5 Pontos', 'vencedores': 31, 'premio': '1.634,13'}, {'acertos': '4 Pontos', 'vencedores': 786, 'premio': '64,45'}, {'acertos': '3 Pontos', 'vencedores': 7502, 'premio': '5,00'}]"
50,"{'loteria': 'super-sete', 'concurso': 51}","['5', '4', '1', '3', '4', '2', '8']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '17.229,94'}, {'acertos': '5 Pontos', 'vencedores': 55, 'premio': '895,06'}, {'acertos': '4 Pontos', 'vencedores': 743, 'premio': '66,25'}, {'acertos': '3 Pontos', 'vencedores': 7605, 'premio': '5,00'}]"
51,"{'loteria': 'super-sete', 'concurso': 52}","['5', '1', '3', '9', '8', '0', '0']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '19.020,00'}, {'acertos': '5 Pontos', 'vencedores': 52, 'premio': '1.045,05'}, {'acertos': '4 Pontos', 'vencedores': 916, 'premio': '59,32'}, {'acertos': '3 Pontos', 'vencedores': 8191, 'premio': '5,00'}]"
52,"{'loteria': 'super-sete', 'concurso': 53}","['9', '1', '2', '9', '7', '4', '9']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 3, 'premio': '13.487,25'}, {'acertos': '5 Pontos', 'vencedores': 49, 'premio': '1.179,64'}, {'acertos': '4 Pontos', 'vencedores': 986, 'premio': '58,62'}, {'acertos': '3 Pontos', 'vencedores': 9542, 'premio': '5,00'}]"
53,"{'loteria': 'super-sete', 'concurso': 54}","['2', '0', '2', '1', '3', '8', '2']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 0, 'premio': '0,00'}, {'acertos': '5 Pontos', 'vencedores': 83, 'premio': '705,39'}, {'acertos': '4 Pontos', 'vencedores': 1120, 'premio': '52,27'}, {'acertos': '3 Pontos', 'vencedores': 9763, 'premio': '5,00'}]"
54,"{'loteria': 'super-sete', 'concurso': 55}","['5', '2', '3', '9', '3', '8', '4']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '20.924,27'}, {'acertos': '5 Pontos', 'vencedores': 55, 'premio': '1.086,97'}, {'acertos': '4 Pontos', 'vencedores': 949, 'premio': '62,99'}, {'acertos': '3 Pontos', 'vencedores': 9107, 'premio': '5,00'}]"
55,"{'loteria': 'super-sete', 'concurso': 56}","['6', '8', '7', '5', '1', '7', '3']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 3, 'premio': '14.988,63'}, {'acertos': '5 Pontos', 'vencedores': 73, 'premio': '879,95'}, {'acertos': '4 Pontos', 'vencedores': 1081, 'premio': '59,42'}, {'acertos': '3 Pontos', 'vencedores': 10061, 'premio': '5,00'}]"
56,"{'loteria': 'super-sete', 'concurso': 57}","['1', '9', '5', '5', '9', '4', '9']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 1, 'premio': '38.661,85'}, {'acertos': '5 Pontos', 'vencedores': 68, 'premio': '812,22'}, {'acertos': '4 Pontos', 'vencedores': 1164, 'premio': '47,44'}, {'acertos': '3 Pontos', 'vencedores': 10701, 'premio': '5,00'}]"
57,"{'loteria': 'super-sete', 'concurso': 58}","['4', '0', '3', '9', '5', '2', '3']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 0, 'premio': '0,00'}, {'acertos': '5 Pontos', 'vencedores': 78, 'premio': '753,58'}, {'acertos': '4 Pontos', 'vencedores': 998, 'premio': '58,89'}, {'acertos': '3 Pontos', 'vencedores': 8503, 'premio': '5,00'}]"
58,"{'loteria': 'super-sete', 'concurso': 59}","['2', '8', '9', '2', '3', '4', '9']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 4, 'premio': '9.790,62'}, {'acertos': '5 Pontos', 'vencedores': 59, 'premio': '948,24'}, {'acertos': '4 Pontos', 'vencedores': 890, 'premio': '62,86'}, {'acertos': '3 Pontos', 'vencedores': 8619, 'premio': '5,00'}]"
